series_id                     	year	period	value	footnote_codes
ORUC1000002O00001171          	2022	A01	41.6	
ORUC1000002O00001172          	2022	A01	9.4	
ORUC1000002O00001173          	2022	A01	49.0	7
ORUC1000002O00001176          	2022	A01	97.6	7
ORUC1000002O00001177          	2022	A01	2.4	
ORUC1000002O00001180          	2022	A01	20.9	
ORUC1000002O00001181          	2022	A01	68.2	7
ORUC1000002O00001187          	2022	A01	100.0	7
ORUC1000002O00001190          	2022	A01	45.7	7
ORUC1000002O00001191          	2022	A01	21.7	
ORUC1000002O00001192          	2022	A01	25.2	
ORUC1000002O00001193          	2022	A01	6.0	
ORUC1000002O00001197          	2022	A01	90.0	7
ORUC1000002O00001198          	2022	A01	10.0	
ORUC1000002O00001201          	2022	A01	3.4	
ORUC1000002O00001202          	2022	A01	96.6	7
ORUC1000002O00001205          	2022	A01	26.3	
ORUC1000002O00001206          	2022	A01	73.7	7
ORUC1000002Q00001149          	2022	A01	11.6	
ORUC1000002Q00001150          	2022	A01	88.4	7
ORUC1000002Q00001156          	2022	A01	35.1	
ORUC1000002Q00001157          	2022	A01	63.4	7
ORUC1000002Q00001160          	2022	A01	39.8	
ORUC1000002Q00001161          	2022	A01	60.2	7
ORUC1000002Q00001166          	2022	A01	19.5	
ORUC1000002Q00001167          	2022	A01	76.2	7
ORUC1000002Q00001171          	2022	A01	39.1	
ORUC1000002Q00001172          	2022	A01	12.6	
ORUC1000002Q00001173          	2022	A01	48.3	7
ORUC1000002Q00001176          	2022	A01	100.0	7
ORUC1000002Q00001180          	2022	A01	15.8	
ORUC1000002Q00001181          	2022	A01	76.2	7
ORUC1000002Q00001187          	2022	A01	100.0	7
ORUC1000002Q00001190          	2022	A01	30.0	
ORUC1000002Q00001191          	2022	A01	43.4	7
ORUC1000002Q00001192          	2022	A01	21.2	
ORUC1000002Q00001193          	2022	A01	4.3	
ORUC1000002Q00001197          	2022	A01	95.6	7
ORUC1000002Q00001198          	2022	A01	4.4	
ORUC1000002Q00001202          	2022	A01	94.1	7
ORUC1000002Q00001205          	2022	A01	57.0	7
ORUC1000002Q00001206          	2022	A01	43.0	
ORUC1000002R00001149          	2022	A01	54.7	7
ORUC1000002R00001150          	2022	A01	45.3	
ORUC1000002R00001197          	2022	A01	57.1	7
